vessel_id,mmsi,imo,shipname,callsign,flag_code,flag,ship_type_summary,ship_type_detail_name,length_m,width_m,dwt,grt,year_built
014e46f0-0d30-752e-87c9-8ef8faa4678f,352980780,9273959.0,SPIL NINGSIH,3E3528,MH,Marshall Islands (Republic of the),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",208.0,30.0,33836.0,25709.0,2003.0
01502a70-4808-7460-80b4-6cbe30b2c562,211886810,9708849.0,AL NASRIYAH,DFGA2,MH,Marshall Islands (Republic of the),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,368.0,51.0,149360.0,153148.0,2015.0
014e6d4b-b150-7207-9992-23f91c1b1bd4,563127500,9656137.0,X PRESS ODYSSEY,9V7017,PT,Portugal - Madeira,"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,255.36,37.389999,58252.0,48338.0,2014.0
018f04ca-d9d0-7f28-8077-3bed17309e67,636022036,9971006.0,MONICA,5LGW5,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Container Ship,172.0,27.0,22563.0,17801.0,2024.0
01884d68-b218-756e-9284-2cd7ea4834f1,477891900,9957074.0,SHENG LI JI,VRVP6,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,171.95,27.0,24327.0,18219.0,2023.0
014e486d-a4b0-70d8-8f6e-2f9aca54a308,565688000,9390240.0,KOTA NAZIM,9VEY4,SG,Singapore (Republic of),"Cargo ships, all ships of this type",Container Ship,179.66,27.639999,25985.0,20902.0,2008.0
01740a5e-47a8-7c8e-a729-132a99959a09,636026657,9884215.0,HAI PENG,A8KY4,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),Tugs,Tugs,32.0,13.0,228.0,492.0,2020.0
014e479c-df60-7ed4-aa69-4c305679072c,636026309,9351579.0,MSC TAMARA IV,A8RB3,PA,Panama (Republic of),"Other types of ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Z",Container Ship,264.96,32.35,53335.0,41225.0,2008.0
014e46ea-92d8-731c-a9e8-e43486383aab,414713000,9523017.0,XIN HANG ZHOU,BPKG,CN,China (People's Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,255.10001,37.299999,67039.0,47917.0,2012.0
014e5199-1dd0-7193-a707-9c9b235b41e1,566919000,9670171.0,GLORY EXPLORER,9V7284,SG,Singapore (Republic of),"Cargo ships, all ships of this type",General Cargo,116.94,20.0,12346.0,8696.0,2013.0
01920e31-9740-7016-9c99-9c4e00851fa3,219677000,9948803.0,A.P. MOLLER,OZTM2,DK,Denmark,"Cargo ships, all ships of this type",Container Ship,349.2,53.5,174009.0,172093.0,2024.0
014e47ab-a0b8-747b-bf0b-25a9c1710d33,636093270,9399753.0,AS CASPRIA,A8OU5,LR,Liberia (Republic of),"Cargo ships, no additional information",Container Ship,225.2,31.29,35534.0,32901.0,2008.0
01808747-3340-71ed-b998-5210d4143664,566510000,9455296.0,WAN HAI 511,9V7577,SG,Singapore (Republic of),"Cargo ships, all ships of this type",Container Ship,259.0,38.200001,57830.0,46854.0,2012.0
014e481f-de88-7177-8203-1c3b98cdecfd,416481000,9595527.0,EVER LIVEN,BKIE,TW,China (People's Republic of) - Taiwan (Province of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,334.79999,46.0,104409.0,98882.0,2013.0
0159c555-4d38-78fb-9cd9-9170c8d096bc,636017867,9762340.0,MSC TINA,D5NB7,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,398.39999,59.080002,200148.0,194308.0,2017.0
0183a5f5-3898-70ad-a160-5ce725850a7c,563174100,9930387.0,WAN HAI 357,9V7389,SG,Singapore (Republic of),"Cargo ships, all ships of this type",Container Ship,203.5,35.099998,36776.0,30776.0,2022.0
0166c81e-4d28-7f76-b476-9a62719afce6,413496790,9840568.0,ZHONG SHAN 20,BRAM,NO,Norway,"Passenger ships, all ships of this type",Passenger Ship,42.799999,11.0,42.0,533.0,2018.0
0195ace4-0ac8-75bd-bbd3-123bec996a1b,636023211,9997945.0,GREEN SEPETIBA,5LMP2,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Container Ship,225.0,32.0,64999.0,49122.0,2025.0
0158188f-0540-7869-8ed5-e88d31ba5951,477995140,9396983.0,GOLDEN DRAGON 338,VRBW9,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Tanker(s), all ships of this type",Oil Products Tanker,49.98,25.0,1600.0,1225.0,2006.0
014e46f1-45b0-78fa-8f6a-88f2504cf80f,249159000,9588615.0,KYDONIA,9HA6134,GR,Greece,"Cargo ships, all ships of this type",Bulk Carrier,229.2,38.0,92828.0,51496.0,2012.0
01797d3d-e940-71f0-bfd3-abd7aa7df6ab,563132500,9871347.0,WAN HAI 287,9V6506,MP,United States of America - Northern Mariana Islands (Commonwealth of the),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,175.03,28.65,23798.0,20924.0,2021.0
01808738-8188-7290-a397-75b94e826cb3,374775000,9747065.0,PLUMERIA CORAL,3EKS5,PA,Panama (Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Z",LPG/Chemical Tanker,93.0,17.200001,5016.0,4289.0,2016.0
01881e27-f090-77cc-b2a1-ef403414f11c,563192600,9936989.0,TIGER CHENNAI,9V8713,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,199.98,35.0,41740.0,34529.0,2023.0
014e46f2-4b68-72d9-85f4-7e4c094d0ed7,416475000,9595486.0,EVER LIBRA,BKIC,TW,China (People's Republic of) - Taiwan (Province of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,334.79999,46.0,104472.0,99995.0,2012.0
015ddf27-3538-7e6d-b765-b5a781b45bc1,636018068,9756729.0,MSC AVNI,D5OA3,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,314.31,48.84,120500.0,102492.0,2017.0
01961a03-e4e8-7007-8c4b-4d90c3d85e34,413610790,1069259.0,DONG FANG 102,BPZR8,CN,China (People's Republic of),"Cargo ships, all ships of this type",Reefer,146.0,20.0,10478.0,9567.0,2025.0
01934cb8-d1a8-7cf0-b931-ba8cc45fc17a,563242900,1018145.0,INTERASIA TENACITY,9V9131,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,204.0,35.0,37160.0,30676.0,2024.0
018dd856-58d0-74a8-b8c9-cc4eb053c14c,414850000,9933872.0,ZHONG GU GUI YANG,BPLY3,CN,China (People's Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,228.0,40.0,87698.0,54384.0,2024.0
014e4ab6-ae38-7f9d-b014-6d1b19f9b432,413378920,9342059.0,WEN ZHU,BPLQ6,CN,China (People's Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X","Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",95.68,15.0,3800.0,2635.0,2007.0
015c3877-d748-7bed-a3b4-efef4d7c0546,414305000,9786035.0,GUANG XIN,BRWM,CN,China (People's Republic of),"Cargo ships, all ships of this type",Bulk Carrier,225.0,32.259998,76377.0,42121.0,2017.0
0162a7ef-a820-7083-aac9-a19d773afb8e,477172200,9800776.0,DING HENG 40,VRRV3,PA,Panama (Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Chemical Tanker,124.03,19.629999,12259.0,8006.0,2018.0
014e46fa-afd8-7630-bf9c-bf747bece762,477608200,9688271.0,HAI HOI,VRMB2,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),Tugs,Tugs,38.0,12.0,235.0,499.0,2013.0
01870bd1-e9d8-7c3a-87b7-fd4edae1a052,477890600,9949546.0,SCT SHEKOU,VRVN6,VC,Saint Vincent and the Grenadines,Tugs,Tugs,32.0,12.0,265.0,496.0,2023.0
01851185-f998-7314-a95c-a26bf55395f9,477859800,9947380.0,SHENG AN,VRUN9,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, all ships of this type",Container Ship,171.89999,29.0,24500.0,18724.0,2023.0
014e46ef-bf10-7546-af3e-64b9a2702183,533170822,9365166.0,HARBOUR ZIRCON,9WVU9,KR,Korea (Republic of),"Cargo ships, all ships of this type",Container Ship,142.71001,22.6,13002.0,9522.0,2007.0
017e6a57-fb90-7688-82db-8feefc9ac14f,352001068,9913858.0,EVER OATH,3E2105,PA,Panama (Republic of),"Cargo ships, all ships of this type",Container Ship,194.96001,33.0,33541.0,27025.0,2022.0
014e53f1-59f8-7acb-b3c3-8b2196a38071,413476340,9233674.0,ZHAOSHANGYI,BRSR,CN,China (People's Republic of),"Tanker(s), all ships of this type",LPG Tanker,94.599998,15.6,1630.0,2994.0,2000.0
0171779d-6d10-722d-b4df-cd9cecf275d1,440017000,9879375.0,SAWASDEE ATLANTIC,D7HE,MH,Marshall Islands (Republic of the),"Cargo ships, all ships of this type",Container Ship,172.07001,27.440001,22344.0,18051.0,2020.0
018a3b4a-6188-7f97-84d5-f98323f9fbbf,636021536,9953119.0,LAKE HERMAN,5LEK5,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Vehicles Carrier,199.0,38.02,19138.0,71706.0,2023.0
01808738-d778-73df-8c53-c5db699ffecf,413479290,9780823.0,HENG YU 93,BPXF2,CN,China (People's Republic of),"Tanker(s), all ships of this type",Oil Products Tanker,126.0,21.0,11816.0,7811.0,2014.0
014e47c4-fce8-7b3a-855e-8c3416ebc1e8,563281300,9403011.0,SEASPAN YINGKOU,9VMY8,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, all ships of this type","Cargo ships, all ships of this type",231.0,32.0,42141.0,35988.0,2007.0
014e48b3-25a8-758f-bbf3-b75cbbfcb024,416428000,9301263.0,YM HORIZON,BLIH,TW,China (People's Republic of) - Taiwan (Province of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",168.8,27.299999,19104.0,15167.0,2005.0
0160e3c6-1de0-764f-bad2-e93c1a3427a2,352005810,9827164.0,PACIFIC BEAM,3E9002,MH,Marshall Islands (Republic of the),"Cargo ships, all ships of this type",General Cargo,127.0,19.0,14277.0,9967.0,2018.0
017520b6-2790-7dbd-9e6b-7834a19b98f1,636020220,9893589.0,KMTC XIAMEN,D5YE7,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,196.16,32.540001,37200.0,27997.0,2020.0
019511cf-09c0-7237-82c4-3b47723e3e9c,211115140,9943891.0,ROTTERDAM EXPRESS,DDOJ2,DE,Germany (Federal Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,400.0,61.0,229348.0,229376.0,2025.0
016256bd-a948-7334-8d54-0700eba1484a,352409000,9788851.0,TRANS HARMONY 2,3ECJ7,PA,Panama (Republic of),"Cargo ships, all ships of this type","Cargo ships, all ships of this type",199.0,32.0,12993.0,50305.0,2018.0
014e4701-d7e0-74d3-98d7-aa3867e8ebb1,563206600,9314765.0,STOLT RINDO,9V8789,PA,Panama (Republic of),"Tanker(s), all ships of this type","Tanker(s), all ships of this type",122.0,20.0,11519.0,6944.0,2005.0
014e48c8-b918-7a89-90fc-e501618109d4,352002648,9374583.0,MERATUS TOMINI,3E4971,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,216.0,30.0,,,
014e5338-c7f8-7dc6-a307-9592a6368114,574002930,9334105.0,TAN CANG GLORY,XVFA9,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Container Ship,133.60001,20.0,8494.0,6474.0,2005.0
014e46f8-df00-75af-afa6-dd4fb981da6a,352005639,9507740.0,PHOENIX GAS,3E8865,LR,Liberia (Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",LPG Tanker,99.9,17.6,5002.0,4312.0,2011.0
014e46ea-c5a0-7f7f-9f0a-49cf25953202,574005160,9357860.0,HAIAN WEST,XVJB7,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Container Ship,175.0,27.0,23396.0,18327.0,2007.0
016d7199-8ad8-70c4-849d-6b9889bdd4ca,441983000,9570591.0,SUN FREESIA,D7FR,KR,Korea (Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Oil/Chemical Tanker,102.5,16.0,4998.0,3595.0,2019.0
017bde1f-37a8-7957-9982-6202791d7fa2,636021136,9903255.0,EVER CERTAIN,5LCM3,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,171.98,28.459999,22383.0,18658.0,2021.0
016ab4e7-3f18-7635-87f6-af4414098645,477308500,9843431.0,SUNG KONG,VRSG7,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),Tugs,Tugs,32.0,13.0,233.0,492.0,2019.0
0161034f-b1d0-751f-bbe0-3fc8683aecb1,477154500,9815680.0,JOSCO REAL,VRRM8,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, all ships of this type",Container Ship,171.99001,28.0,24560.0,18885.0,2018.0
017d8e34-6450-7457-a147-3f9937bddecb,413298170,9921879.0,HONG MAO,BOTQ6,CN,China (People's Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",LPG Tanker,99.959999,15.0,2872.0,3187.0,2021.0
014e4ee3-aa60-7770-9bc2-a14bd3bb195c,574001880,9142136.0,OCEANUS 9,3WKB9,VN,Viet Nam (Socialist Republic of),"Tanker(s), all ships of this type",LPG Tanker,99.900002,19.0,5054.0,4518.0,1996.0
014e4adb-b6b0-725c-af12-d8365486decc,477612200,9445514.0,OOCL NEW ZEALAND,VRFS2,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,260.04999,32.25,50554.0,40168.0,2009.0
014eb048-dcd0-7fc2-830b-32afed977f65,210601000,9571301.0,MSC NEW JERSEY 3,5BNY6,MH,Marshall Islands (Republic of the),"Cargo ship, landing craft",Container Ship,212.50999,32.23,41636.0,35708.0,2011.0
017e72f8-2c70-79ca-a73d-f5da03a1d0dd,477745800,9926104.0,SITC YUNCHENG,VRUL4,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,188.87,32.290001,35360.0,26771.0,2022.0
0160c3d6-55e0-7428-b1a4-967c1c704531,538007820,9810111.0,TS OSAKA,V7DC5,MH,Marshall Islands (Republic of the),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,171.99001,28.0,21361.0,17449.0,2018.0
014e46ea-ecb0-70d3-a7ad-ab9095c38082,477997043,9298210.0,HUNG HOM,VRS6328,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),Tugs,Tugs,19.0,14.0,102.0,231.0,2004.0
0153d629-4818-769f-b0de-802e6b90179e,538006699,9730361.0,SEAWAYS TRINITY,V7QJ3,MH,Marshall Islands (Republic of the),"Tanker(s), all ships of this type",Crude Oil Tanker,274.17,48.36,158734.0,81360.0,2016.0
01893651-1da8-7df8-908f-660f8c522664,538010758,9948865.0,TS LIANYUNGANG,V7A7385,CN,China (People's Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,147.89999,23.0,13300.0,9998.0,2023.0
014e46e9-db40-7f4b-84b4-f0d533ddec2e,636016710,9274317.0,STOLT VIRTUE,D5HJ9,LR,Liberia (Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Oil/Chemical Tanker,158.83,25.5,25230.0,15715.0,2004.0
014e4820-1538-7864-b920-ebcecddf62c7,636020483,9280811.0,STAMATIS B,D5XF8,MH,Marshall Islands (Republic of the),"Cargo ships, all ships of this type",Container Ship,260.87,32.299999,55497.0,40952.0,2004.0
014e46fb-30c0-7e40-9e20-0a9b995cd35b,636024729,9116589.0,MSC UNITE VI,5LTZ7,SG,Singapore (Republic of),"Cargo ships, no additional information",Container Ship,285.0,40.0,63309.0,69218.0,1996.0
015b26eb-fe60-7222-bbae-2f07bac18e01,374316000,9781097.0,SUN TRITON,3FKM,PA,Panama (Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Oil/Chemical Tanker,127.02,20.4,12670.0,7287.0,2017.0
018fc9b5-86a0-70eb-b3c6-fd7e2b15e3b3,636022792,9987586.0,CA GUANGZHOU,5LKM3,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Container Ship,166.94,27.629999,24422.0,17871.0,2024.0
014e5787-88a8-7baa-9092-1859787b31d0,477300900,9675925.0,YU YI,VRNF4,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Tanker(s), all ships of this type",Oil Products Tanker,150.59,22.6,17974.0,11553.0,2013.0
019706c8-4a58-782f-9663-3e45bb10d00a,352006269,1115565.0,WAN HANG HENG YUAN,3E7869,CN,China (People's Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,197.0,35.0,60900.0,39212.0,2025.0
014e4819-9cf8-7f5d-88e3-72da3ecd1329,538010029,9290127.0,EMMANUEL P,V7A5488,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,260.10001,32.299999,50500.0,39941.0,2005.0
016cc205-9ee0-78ba-aed2-45011f85f600,563091100,9840726.0,MAERSK SONGKHLA,9V6006,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,186.0,36.0,37397.0,33128.0,2019.0
014e4724-b1c0-7b2d-8f9c-c56a75e51420,636019770,9224958.0,MANET,D5WB7,CY,Cyprus (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",195.60001,30.200001,30650.0,26050.0,2001.0
014e50ef-ddb0-749d-8e22-58c49afa383f,477770200,9352042.0,MAERSK STOCKHOLM,VRGW3,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Z",Container Ship,334.0,42.799999,107978.0,92293.0,2008.0
014e4878-dfb0-7cd4-b913-730bf8b86214,311000923,9454436.0,CMA CGM MARCO POLO,C6EK8,GB,United Kingdom of Great Britain and Northern Ireland,"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,396.0,53.599998,186488.0,176546.0,2012.0
016684dd-0040-7554-9d8b-620e1ab51fec,353800000,9784154.0,EVER BREED,H3BV,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,211.0,33.0,30000.0,32691.0,2018.0
014e47ba-3b00-7f8b-98a3-edfcd0b80261,416465000,9462720.0,YM UPSURGENCE,BLHJ,TW,China (People's Republic of) - Taiwan (Province of China),"Cargo ships, all ships of this type","Cargo ships, all ships of this type",333.20001,42.799999,103235.0,91586.0,2012.0
014e483d-6cf0-7653-bac1-81dcf78150d2,241311000,9484924.0,EXPRESS BERLIN,SVBY4,GR,Greece,"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,349.0,45.599998,129760.0,113973.0,2011.0
01932ea0-c748-7c86-80a5-a89d58efa090,563247600,9950832.0,EVER WILL,9V7806,VU,Vanuatu (Republic of),"Cargo ships, all ships of this type","Cargo ships, all ships of this type",172.0,32.0,27958.0,27145.0,2024.0
014e46ea-2190-7e78-92da-a5c903911a68,636013118,9331086.0,YM INSTRUCTION,A8KS6,LR,Liberia (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Z",Container Ship,172.7,27.299999,22033.0,16488.0,2007.0
014e573d-19f8-75b8-9349-634b43334196,256075000,9250971.0,SAVANNAH,9HA3804,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,293.87,40.0,74453.0,74071.0,2002.0
014e46ed-1b48-7eab-b04b-c49bd09c9b22,636017802,9509140.0,GSL ELEFTHERIA,D5DW8,LR,Liberia (Republic of),"Cargo ships, no additional information",Container Ship,228.13,32.209999,46150.0,39905.0,2013.0
01882332-1200-7efc-9851-338a36c24442,567624000,9937775.0,NATTHA BHUM,HSB9074,SG,Singapore (Republic of),"Cargo ships, all ships of this type",Container Ship,172.0,28.0,24400.0,18526.0,2023.0
014e4b48-5b30-7bf1-a95a-0ac172657cb7,370343000,9448061.0,ASIAN EXPLORER,3ECL8,PA,Panama (Republic of),"Cargo ships, all ships of this type",Vehicles Carrier,180.0,30.0,15154.0,43810.0,2009.0
014e4bd9-a298-7028-9b0b-ec6010be6cae,413540250,9537680.0,SHENG HANG 003,BPHT5,CN,China (People's Republic of),"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Oil/Chemical Tanker,120.11,18.0,8092.0,5614.0,2009.0
01808739-7b88-7028-beda-024906088ebe,574003500,9248942.0,HAIAN BELL,3WIH7,VN,Viet Nam (Socialist Republic of),"Cargo ships, all ships of this type",Container Ship,154.5,25.0,16435.0,14308.0,2003.0
014e46f8-7d58-749a-822f-998a05a64ef8,352167000,9325362.0,SATURN,H9GC,PA,Panama (Republic of),"Cargo ships, all ships of this type",General Cargo,124.55,20.5,13324.0,9983.0,2005.0
014e46fa-ee58-7aa8-ab87-fc1c3f6bf552,636022620,9330343.0,LONDON STAR,A8KN4,LR,Liberia (Republic of),"Tanker(s), all ships of this type",Crude Oil Tanker,229.0,32.299999,73869.0,41966.0,2006.0
01902163-8e38-70d8-a867-5c3d688892d6,312000074,1068061.0,TONGYUN12,V3TX,PA,Panama (Republic of),"Cargo ships, all ships of this type",General Cargo,127.0,20.0,11607.0,7520.0,2011.0
01903c43-3988-7bf7-80ed-26f406f33899,538007312,9792503.0,STARSHIP AQUILA,V7IQ5,MH,Marshall Islands (Republic of the),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,172.12,27.43,23541.0,18064.0,2017.0
01993772-2eb0-7deb-a945-3f0525d2577c,563295100,9950870.0,EVER WARM,9V7810,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,172.0,32.0,,,
014e46f7-c1d8-7b57-9145-85292ff77e12,574003150,9310252.0,PETROLIMEX 18,XVWI9,SE,Sweden,"Tanker(s), carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Oil/Chemical Tanker,175.97,31.030001,40092.0,25429.0,2007.0
014e4709-3698-79a4-b58d-22eafb7cb72d,477046500,9485071.0,HAI TONG,VRDR7,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),Towing,Tugs,36.799999,10.0,,432.0,2008.0
0156ba5c-ff00-71ef-ad7f-718c2cc07825,636020122,9757022.0,AQUAPISCES,D5XT9,MT,Malta,"Cargo ships, all ships of this type",Bulk Carrier,198.0,32.26,60238.0,34323.0,2016.0
014e46f7-4ca8-750c-ac1b-c6d5d79b38f4,636022118,9243306.0,ULSAN,5LHG7,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",257.87,32.25,52785.0,40108.0,2002.0
0168853b-b020-7f7d-98d1-af71741655b2,564559000,9167435.0,KOTA RATU,S6ST,SG,Singapore (Republic of),"Cargo ships, all ships of this type",Container Ship,144.0,22.6,13064.0,9422.0,1998.0
014e46f4-00e8-795f-807b-85d9d87b0c6b,355129000,9008574.0,MSC TASMANIA III,HPCF,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Y",Container Ship,216.05,32.2,45670.0,34231.0,1993.0
0161e52f-41d8-70f0-9d3a-150ee87483b9,219406000,9786140.0,MAERSK CAPRI,OZCN2,SG,Singapore (Republic of),"Tanker(s), all ships of this type",Oil/Chemical Tanker,183.15,32.23,49919.0,29816.0,2018.0
014e479b-a6e0-75ab-a181-0d10e04f25b5,356575000,9495040.0,DP WORLD KOCHI,3FOE7,PA,Panama (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,316.0,45.599998,90087.0,87697.0,2010.0
017b2f6d-c828-7017-bfcb-219d1feb750d,219027758,9885166.0,NIMTOFTE MAERSK,OYLF2,DK,Denmark,"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,172.0,32.0,27550.0,26255.0,2021.0
014e9ab1-7918-7183-a1fd-732306bfbdb2,477478300,9771303.0,SUZHOU,VROJ2,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),Other types of ship,Tugs,33.5,10.0,231.0,393.0,2015.0
014e4c54-6460-739e-ae00-c81f2c5753c3,413054000,9270452.0,XIN QING DAO,BPAR,CN,China (People's Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,279.89999,40.299999,69423.0,66433.0,2003.0
018831ea-78f0-7755-b716-b6f17cd644e8,636022176,9951161.0,AMOUREUX,5LHN4,LR,Liberia (Republic of),"Cargo ships, all ships of this type",Container Ship,172.07001,27.0,22750.0,17785.0,2023.0
014e4cc0-dde8-72dc-85d5-0ed7abe43752,477024800,9639634.0,SITC LIANYUNGANG,VRKS6,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X","Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",143.0,23.0,,,
014e46f3-0eb8-7753-acb0-05e25a0c49ec,477002300,9781188.0,KMTC TAIPEIS,VRQQ3,HK,China (People's Republic of) - Hong Kong (Special Administrative Region of China),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category X",Container Ship,172.2,27.5,21741.0,18370.0,2017.0
014e491c-cc88-7abb-9468-967a22feec68,352003953,9705445.0,SKY CHALLENGE,3E5352,KR,Korea (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category OS",Container Ship,172.13,27.0,21860.0,20738.0,2014.0
0183d4c5-3ad8-7c8d-83bb-fd3adcb4f530,563176800,9554078.0,WAN HAI 356,9V7385,SG,Singapore (Republic of),"Cargo ships, carrying DG and/or MHB, HS, or MP, IMO hazard or pollutant category Z",Container Ship,203.5,34.84,36776.0,30519.0,2022.0
